sep=;
T/1;CR/1;CS/2;;US/1;Cortex/2;;Thalamus/2;;Hippocampus.BindDelta/4;;;;Hippocampus.Context/4;;;;V/3;;;W/2;;
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
1;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
2;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
3;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
4;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
5;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
6;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
7;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
8;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
9;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
10;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
11;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
12;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
13;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
14;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
15;0.000;0.000;0.000;1.000;0.000;0.000;1.000;1.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
16;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
17;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
18;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.200;0.200;0.000;0.000;0.000;
19;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.200;0.200;0.000;0.000;0.000;
20;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.200;0.200;0.000;0.000;0.000;
21;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.200;0.200;0.000;0.000;0.000;
22;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.200;0.200;0.000;0.040;0.000;
